,chords,view,star,date,url,text
Растаман,"['G', 'C5', 'D5', 'E5', 'Em', 'Em7', 'Am', 'F#5', 'A']",1768,1,04.11.2021,https://amdm.ru/akkordi/knyazz/186939/rastaman/,"['x2', 'Утро начиналось, как всегда:', 'Закурил с улыбкой растаман.', 'Хочется куда-то, но куда?', 'Чтоб решить проблему — нужен план.', 'Он взял пластинку с Бобом Марли:', '«Боб, здравствуй, Боб!', 'Родными песни твои стали,', 'Это не трёп!»', 'Жизнь застыла,', 'Не парит, как не взлетай,', 'Не льётся через край.', 'Раньше было', 'Веселей... Не умолкай,', 'Громче музыка играй!', 'На плакате с дредами кумир.', 'Этот город душит всё сильней,', 'Вот бы окунуться в новый мир,', 'Затесаться в племя дикарей.', 'Он взял пластинку с Бобом Марли:', '«Боб, здравствуй, Боб!', 'Родными песни твои стали,', 'Это не трёп!»', 'Жизнь застыла,', 'Не парит, как не взлетай,', 'Не льётся через край.', 'Раньше было', 'Веселей... Не умолкай,', 'Громче музыка играй!', 'x2', 'x4', 'Новый мир безудержно манил...', 'Денег лишь в один конец наскрёб', 'И до Ямайки растаман билет купил,', 'Улетел с концами: «Здравствуй, Боб!»', 'Хей! «Здравствуй, Боб!»', 'Утро начиналось, как всегда...']"
Рок-н-ролльный Дед Мороз,"['F#m', 'A', 'Bm', 'D', 'E', 'C#m', 'A#m']",17198,39,16.12.2017,https://amdm.ru/akkordi/knyazz/162073/rok_n_rollniy_ded_moroz/,"['Intro:', 'К вам с далёкого севера я прилечу,', 'Ибо всех с Новым годом поздравить хочу.', 'И подарки, конечно же, я привезу,', 'И за это вы мне покажите козу.', 'Дед Мороз – это вам не какой там конь,', 'Хоть я весь ледяной – в моём сердце огонь.', 'Никому моё место вовек не занять.', 'Коль согласен со мной – то скорее дай пять!', 'Рок-н-ролльный Дед Мороз –', 'Самый лучший в мире гость.', 'Я любой программы гвоздь,', 'Я любой программы гвоздь!', 'Все, конечно же, мне рады –', 'Люди добрые и гады,', 'И повсюду вижу снова', 'Я восторженные взгляды.', 'Про меня поют баллады,', 'И баллады попадают в хит-парады.', '}x2', 'Что желаете слушать вы в Новом году?', 'Я любой рок-н-ролл вам, ребятки, найду –', 'Ведь все песни в своём волшебном лесу', 'Я храню. Ну а тот, кто закажет попсу,', 'На себе мой поймает презрительный взгляд.', 'Я таким предпочтеньям ужасно не рад.', 'Буду вынужден крепко ему навредить –', 'Заморожу всё пиво, что будет он пить.', 'Рок-н-ролльный Дед Мороз –', 'Самый лучший в мире гость.', 'Я любой программы гвоздь,', 'Я любой программы гвоздь!', 'Все, конечно же, мне рады –', 'Люди добрые и гады,', 'И повсюду вижу снова', 'Я восторженные взгляды.', 'Про меня поют баллады,', 'И баллады попадают в хит-парады.', '}x2', '}x2', 'Рок-н-ролльный Дед Мороз –', 'Самый лучший в мире гость.', 'Я любой программы гвоздь,', 'Я любой программы гвоздь!', 'Все, конечно же, мне рады –', 'Люди добрые и гады,', 'И повсюду вижу снова', 'Я восторженные взгляды.', 'Про меня поют баллады,', 'И баллады попадают в хит-парады.', 'В хит-парады!', 'В хит-парады!', 'В хит-парады!']"
Роковой карнавал,"['Am', 'Dm', 'B', 'F', 'E']",3984,5,10.03.2015,https://amdm.ru/akkordi/knyazz/109183/rokovoy_karnaval/,"['Вступление:', 'Силы на исходе, но надежда остается.', 'Не сойти с ума с большим трудом, но удается.', 'Заманили хитростью, как с маленьким играя.', 'Как отсюда выбраться, теперь не понимаю.', 'Дьявольскими штучками, я был заинтригован.', 'Где тут разрисованный, дурного вида клоун.', 'Жуткая ловушка, за доверчивость награда.', 'Любопытство подвело, что от меня им надо?', 'Припев:', 'Звуки карнавала,', 'Растворились в миг!', 'В стенах балагана,', 'Злой рок меня настиг!', 'Ужасы крылись, за ширмой радостных лиц.', 'Актеров клоунады.', 'Чье озорное коварство, не знало границ.', 'И в душу лезли взгляды', 'Клоуны опасны, как их дети не боятся.', 'Кто над этой жутью, приучил людей смеяться.', 'Ведь не зря всегда я, относился к ним с опаской.', 'Там ведь не понятно, кто скрывается под маской.', 'Не дверей, ни окон в лабиринте приведений.', 'Некуда бежать от бесконечных навождений.', 'Натыкаюсь в темноте, на черепа и кости.', 'Что они здесь делают? Их место на погосте!', 'Припев.', 'Реальность можно изменить,', 'Как и судьбы финал.', 'Злодея тьмы врата открыть,', 'Зловещий карнавал.', 'И мистер ужас, свой портрет,', 'Напишет на лице.', 'Ведь всё, чего боитесь вы,', 'Появится в конце.']"
Романс,"['F#m', 'Bm', 'E', 'C#m', 'D']",13736,25,12.11.2016,https://amdm.ru/akkordi/knyazz/152973/romans/,"['Intro:', '}x4', 'Весь вечер вьюга воет. Непогода нынче.', 'Ну её, к чертям! Бокалы бьются!', 'Ей, богу граф, не стоит вам уподобляться', 'Озорным гостям - пускай напьются!', 'Вы же, граф, давно пьяны от любви!', 'Но вы, в Петербурге, а она -', 'За сотни вёрст, в Твери!', 'В разлуке больше не прожить не дня.', 'Через леса, через поля, к её порогу.', 'Скакать решили спозаранку,', 'Вывели на снежный луг коня -', 'И в путь-дорогу.', 'Есть ствол, порох есть.', 'Эй, волк, не дури.', 'Дай минуя темный лес скорей', 'Добраться до Твери!', 'Коня в болоте не уберегли,', 'Куда вас черти завели в глухом тумане?', 'Возлюбленная в сумрачной дали.', 'Снега дороги замели, нога в капкане.', 'Эх,   гу    ля  ли бы всю ночь до зари.', 'Злому року погубить себя едва не помогли!', 'Outro:']"
Руки к Небу,"['Gm', 'D#5', 'F', 'Cm', 'D5', 'A#']",21760,47,10.01.2021,https://amdm.ru/akkordi/knyazz/179912/ruki_k_nebu/,"['[Вступление]:', 'Сm', '[Куплет 1]:', 'Время идёт, я не могу сидеть на месте.', 'Сколько молчать я должен? Чёрт бы всё подрал!', 'Рушатся стены от моей безумной песни,', 'Но и себя я по кусочкам собирал.', 'И знаю я, что не найти пути иного,', 'Чем рваться ввысь, сшибать преграды на пути.', 'Страшно прожить в молчании, не сказав ни слова.', 'Громче звучи, мой голос, дальше лети!', '[Припев]:', 'Я!', 'Руки к небу подниму.', 'Да-ай,', 'Солнце, силы мне,', 'Чтоб громче петь.', 'И я!', 'Себя найти смогу:', 'Лететь,', 'А не стоять на месте.', '[Куплет 1]:', 'Ах, для чего мы напридумали законов,', 'И для чего всё время смотрим на других?', 'Разве душе раскрыться это всё поможет?', 'Или кто-то скажет, что душа – всего лишь миф?', 'Дай, небо, силы всё ненужное отринуть,', 'Дай мне на мир глазами детства посмотреть.', 'Помоги мне тяжесть прошлых лет,', 'Как груз ненужный, скинуть.', 'Научи меня дышать свободно и свободно петь.', '[Припев]:', 'Я!', 'Руки к небу подниму.', 'Да-ай,', 'Солнце, силы мне,', 'Чтоб громче петь.', 'И я!', 'Себя найти смогу:', 'Лететь,', 'А не стоять на месте.', '[Соло]:', '[Припев]:', 'Я!', 'Руки к небу подниму.', 'Да-ай,', 'Солнце, силы мне,', 'Чтоб громче петь.', 'И я!', 'Себя найти смогу:', 'Лететь,', 'А не стоять на месте.', 'Лететь!,', 'А не стоять на месте.', 'Лететь.', '[Кода]:']"
Русалки,"['Am', 'F', 'Dm', 'E', 'Dsus2', 'Dsus4', 'C', 'C/B', 'Am/G', 'G', 'Em']",5221,9,10.06.2016,https://amdm.ru/akkordi/knyazz/142737/rusalki/,"['Звонко плещется водица', 'В тихой заводи реки лесной', 'Там резвятся две девицы', 'Темной ночью под большой луной', 'А я пришел воды напиться', 'Тихо к заводи подкрался', 'Подходить к ней не решился', 'Жив поэтому оста - ался', 'В каждом взгляде есть загадка,', 'Вьются волосы зеленые', 'Губы что то шепчут сладко', 'Но на вкус они соленые', 'Они хитрые и быстрые,', 'Для парней они опасные', 'Снизу рыбы серебристые,', 'Сверху девушки прекрасные.']"
Русский дух,"['Gm', 'A', 'Dm', 'A#', 'E']",6704,6,26.05.2015,https://amdm.ru/akkordi/knyazz/114937/russkiy_duh/,"['Solo #1:', '|------------------------------------------------------------', '|------------------------------------------------------------', '|--9-10---0----10-9-10------10-9-10--7--10-9-10-12-10-9-10-0-', '|---------7------------------7-------------------------------', '|------------------------------------------------------------', '|------------------------------------------------------------', 'Solo #2:', '|------------------------------------------------------', '|------------------------------------------------------', '|0----10-9-10-----10-9-10--7--10-9-10—5-777-10-9-------', '|-----------------7----------------------------------7-', '|------------------------------------------------------', '|------------------------------------------------------', 'Вступление:', 'Русь!', 'Как опрометчиво зарился враг', 'На твои земли.', 'Забрали ветра', 'Надежды, обращенные в прах,', 'И в пламени костра', 'Вновь', 'Читаю мысли я предков своих,', 'Святую ярость на русской земле', 'Могли обрушить в полях родных', 'На тех, кто шел извне.', 'Припев:', 'И земля героев помнит,', 'И огонь не затух,', 'И отвагой грудь наполнит', 'Русский дух.', 'Русский дух.', 'Хоть многострадальна,', 'Но ни перед кем', 'Ты не дрожала, во все времена', 'Страх презирая, ждала перемен,', 'Вкусила бед сполна.', 'Русь!', 'Растила ты сыновей для борьбы,', 'Познала радость великих побед.', 'Во славу предков на подвиги мы', 'Прольем потомкам свет.']"
Святой,"['Am', 'F', 'C', 'E', 'Dm', 'Bm', 'B']",8395,15,22.05.2017,https://amdm.ru/akkordi/knyazz/160227/svyatoy/,"['Слухов про него ходило много,', 'Но от прокуратора дорога', 'Очень часто лишь в один конец.', 'Выдумали этого святого', 'И в любое верят его слово,', 'Только у меня любой наглец', 'Побледнеет, жалким станет вид,', 'Лишь поймёт он – перед кем стоит.', 'Припев:', 'Пусть Мессия ваш чудо сотворит,', 'Но всё эпатаж – мне мой опыт говорит.', 'Но когда предстал он передо мной,', 'Тут и я признал, кто воистину святой.', 'Воистину святой!', '}x2', 'Если б я единолично правил –', 'Всех казнил бы, а его оставил:', 'Он – как яркая свеча во мгле.', 'Стало обвинителей так много,', 'Словно поделить не могут Бога,', 'Справедливый суд мешают мне', 'Совершить. Их аргументы – ложь,', 'На преступника он не похож.', 'Припев:', 'Пусть Мессия ваш чудо сотворит,', 'Но всё эпатаж – мне мой опыт говорит.', 'Но когда предстал он передо мной,', 'Тут и я признал, кто воистину святой.', '}x2', '}x4', '}x4', 'Извергали яд яростные рты,', 'Превращая в прах все к спасению мосты.', 'Руки умывал, принял их протест,', 'Чистой кровью дал окропить позорный крест.', 'Окропить позорный крест!', 'Окропить позорный крест!', 'Окропить позорный крест!', 'Окропить позорный крест!']"
Серый кардинал,"['G#m', 'B', 'C#', 'C#m', 'F#', 'E', 'D#', 'G', 'A']",7710,9,26.03.2015,https://amdm.ru/akkordi/knyazz/110370/seriy_kardinal/,"['Intro:', '2p', 'Тайная власть - дело умных,', 'И в любой игре нужно уметь', 'В точку попасть, тихо и бесшумно,', 'Подчинить и завладеть.', 'Вечность дана лишь на время размышлений.', 'В небе Луна, сложных госпожа решений.', 'Мысли в процессе бессонных ночей', 'Требуют в жертву всё новых свечей.', 'В действии серый кардинал.', 'Вновь час настал', 'Большой игры.', 'Он не спешит на пьедестал,', 'Таков закон', 'Его судьбы.', 'Просчитан каждый ход,', 'Поставит мат', 'И в тень уйдёт,', 'Поставит мат и снова в тень уйдёт.', 'Проигрыш:', '|', '|', '|', '|', '|', '|', '|', '}2p', '2p', 'Длинная масть козырная', 'У него в руке; всё наперёд', 'Знает и страсть в душу не пускает,', 'Предпочтёт холодный расчёт.', 'В прочную сеть попадётся неумелый,', 'Кому-то плеть, а кому-то в сердце стрелы.', 'Всех он заранее опередит,', 'Сферу влияния определит.', 'В действии серый кардинал.', 'Вновь час настал', 'Большой игры.', 'Он не спешит на пьедестал,', 'Таков закон', 'Его судьбы.', 'Просчитан каждый ход,', 'Поставит мат', 'И в тень уйдёт,', 'Поставит мат и снова в тень уйдёт.', 'Outro:', '6p']"
Сидеть и ждать,"['Bm', 'A', 'Em', 'G', 'F#']",4640,8,10.02.2015,https://amdm.ru/akkordi/knyazz/106799/sidet_i_zhdat/,"['Ты так сладко спишь', 'Под ярким блеском луны,', 'И в ночной тиши', 'Какие снятся тебе сны?', 'Возьму твою ладонь,', 'Прижму к своей щеке.', 'Ах, знала б ты, как тяжко', 'Сидеть и ждать рассвета мне.', 'Припев:', 'Сидеть и ждать Сидеть и ждать', 'Сидеть и ждать рассвета мне.', 'Сидеть и ждать Сидеть и ждать', 'Сидеть и ждать рассвета мне.', 'И ходят призраки вокруг меня,', 'Печать молчанья на устах.', 'Я тоже призрак для тебя,', 'Я существую в твоих снах.', 'К утру растает мгла,', 'Луч солнца к нам в окно заглянет,', 'Но верю, верю я,', 'Что, наконец, твой сон растает.', 'Семь лет, как я в тоске сижу', 'У изголовья твоего.', 'Семь лет я терпеливо жду,', 'Жду пробуждения твоего.', 'Но верю я, но верю я,', 'Что вдруг наступит час,', 'Разбудит новый день тебя,', 'И будет счастье вновь у нас.']"
Сидеть и Ждать,"['Bm', 'A', 'Em', 'G', 'F#', 'B5', 'A5', 'E5', 'G5', 'F#5']",4890,3,15.02.2017,https://amdm.ru/akkordi/knyazz/158006/sidet_i_zhdat/,"['Вступление:', '2)-----3--------2----------------------------', '3)-------4--------2-------0----------0----0--', '4)---4--------4---------4---4------4----4----', '5)-2--------0--------------------------------', '6)-------------------3----------2-----2------', 'Куплет:', 'Ты так сладко спишь', 'Под ярким блеском луны,', 'И в ночной тиши', 'Какие снятся тебе сны?', 'Возьму твою ладонь,', '/', 'Прижму к своей щеке.', 'Ах, знала б ты, как тяжко', 'Сидеть и ждать рассвета мне.', 'Припев(2 раза):', 'Сидеть и ждать', 'Сидеть и ждать', 'Сидеть и ждать рассвета мне.', 'Куплет:', 'И ходят призраки вокруг меня,', 'Печать молчанья на устах.', 'Я тоже призрак для тебя,', 'Я существую в твоих снах.', 'К утру растает мгла,', 'Луч солнца к нам в окно заглянет,', 'Но верю, верю я,', 'Что, наконец, твой сон растает.', 'Припев(2 раза):', 'Что, наконец', 'Что, наконец', 'Что, наконец, твой сон растает', 'Куплет:', 'Семь лет, как я в тоске сижу', 'У изголовья твоего.', 'Семь лет я терпеливо жду,', 'Жду пробуждения твоего.', 'Но верю я, но верю я,', 'Что вдруг наступит час,', 'Разбудит новый день тебя,', 'И будет счастье вновь у нас.', 'Припев:', 'Сидеть и ждать', 'Сидеть и ждать', 'Сидеть и ждать рассвета мне.', 'Что, наконец', 'Что, наконец', 'Что, наконец, твой сон растает']"
Служанка,"['G', 'Em', 'C5', 'Am', 'D5', 'A#5', 'G5', 'Hm']",1095,3,04.11.2021,https://amdm.ru/akkordi/knyazz/186952/sluzhanka/,"['Эта песня, посвещается всем тем девушкам -', 'Которые знают как сделать мужчину счастливым. Спасибо.', 'x4', 'Я жил в своём огромном доме.', 'С недавних пор завёл служанку и она', 'Уборку делала, я ею был доволен.', 'Хозяйственна к тому же и мила.', 'Я даже с ней заигрывал порою,', 'Не скрою нравился её весёлый смех.', 'И каждое общение со мною', 'Она воспринимала как успех.', 'Эй, гитара, пой мне,', 'И пусть цветёт душа!', 'Та, что сейчас со мною', 'Так сильно мне нужна.', 'x4', 'Я к ней привык и наши отношения', 'Приобретали очень нежные тона.', 'И я всё чаще погружался в размышления:', 'Она служанка, но ведь и девушка она!', 'И как-то истинное чудо я увидел,', 'Когда вернулся раньше времени домой.', 'Что в моей спальне в обнажённом виде', 'Она пред зеркалом любуется собой!', 'Эй, гитара, пой мне,', 'И пусть цветёт душа!', 'Та, что сейчас со мною', 'Так сильно мне нужна.', 'x4', 'Закуриваяя трубку на балконе', 'Я на Луну задумчиво смотрел.', 'Как вышло всё я сам того не понял.', 'И чёрт возьми, да как же я посмел!', 'Но мне на плечи нежно руки опустились,', 'Раздумья вихрем улетели проч.', 'В душе цветы ожили, распустились,', 'И я воскликнул: ""Как прекрасна эта ночь!""', 'Эй, гитара, пой мне,', 'И пусть цветёт душа!', 'Та, что сейчас со мною', 'Так сильно мне нужна.', 'Та, что сейчас со мною', 'Так сильно мне нужна.']"
Социальная программа,"['Dm', 'F', 'A', 'Gm', 'A5', 'C', 'B', 'D5', 'E5', 'F5', 'G5']",3723,6,23.11.2015,https://amdm.ru/akkordi/knyazz/128542/socialnaya_programma/,"['Все, что юность мне дала', 'Сгинуло без следа', 'Все система отняла', 'Раз и навсегда', 'Медицина совершила мировой прорыв', 'На права людей глаза сознательно закрыв', 'Идеальным может стать', 'Общество, если вдруг', 'Рок-н-рольных обуздать', 'Интересов круг', 'Социальная программа чудеса творит,', 'Только смысла в ней ни грамма, это геноцид', 'Был когда-то интерес врачи сказали - ""стоп""', 'Где теперь Рамонес, Нирвана, Игги Поп,', 'Джимми Моррисон и Сид, Генри Роллинз, Роберт Смит?', 'Лечение, сплошной произвол!', 'Верните мне мой рок-н-рол!', 'Произвол...', 'Произвол...', 'Произвол...', 'Произвол...', 'Взяли панков под арест,', 'В клиниках нету мест', 'Если в ком то есть протест,', 'Все покажет тест', 'Поменяли идеалы стал приличным вид', 'Смотрим нынче сериалы про счастливый быт', 'Был когда-то интерес, врачи сказали - ""стоп""', 'Где теперь Рамонес, Нирвана, Игги Поп,', 'Джимми Моррисон и Сид, Генри Роллинз, Роберт Смит?', 'Лечение, сплошной произвол!', 'Верните мне мой рок-н-рол!', 'Произвол...', 'Произвол...', 'Произвол...', 'Произвол...', 'Теперь в осколках прошлого не разглядеть ни зги,', 'От новостного ложного прочищены мозги,', 'Всех идеалов тления остался черенок', 'От прежнего растения, твердят, что рос я в бок', 'Что рокер я с рождения, в том нет моей вины,', 'Боролся до последнего, но силы не равны', 'Диагнозы их спорные у глотки в цепь сплелись,', 'Клещи лабораторные в рассудок мой впились', 'Был когда-то интерес, врачи сказали - ""стоп""', 'Где теперь Рамонес, Нирвана, Игги Поп,', 'Джимми Моррисон и Сид, Генри Роллинз, Роберт Смит?', 'Лечение, сплошной произвол!', 'Верните мне мой рок-н-рол!', 'Произвол...', 'Произвол...', 'Произвол...', 'Произвол...']"
Стальные кандалы,"['Am', 'F', 'Dm', 'E']",5804,11,26.06.2016,https://amdm.ru/akkordi/knyazz/143856/stalnie_kandali/,"['Был я весел, но сейчас все восстали против нас', '/', 'Будто дышать им не дает чужое счастье', 'Нынче на родной земле стало тесно - ей и мне', 'В солнечный день и при луне, что за напастье?', 'Говорят бродяга я и она не для меня', 'И ничего общего быть у нас не может', 'Говорят, что кур доят, а для нас разлука - яд', 'Ей, как и мне, только любовь поможет', 'Припев:', 'Оденьте на ноги мои стальные кандалы', 'Заприте в каменный подвал на тысячу замков', 'Не выбить мысли из моей упрямой головы', 'Я все равно к ней убегу избавлюсь от оков', 'Увидал ее глаза. Сразу понял: егоза', 'Я обалдел, похолодел, упал и умер', 'Ради этих глаз ее я готов пойти на все', 'Я не совсем в здравом уме, я обезумел', 'Не в скитаньях мой удел, у меня хватает дел', 'С кем-то другим путать меня не надо!', 'Все несут какой-то бред, будто добрых мыслей нет', 'Правильно мне сказывал дед: Народ - как стадо!', 'Припев']"
Тайна кривых зеркал,"['Em', 'Bbdim', 'Am', 'B', 'C', 'G']",4530,2,01.04.2015,https://amdm.ru/akkordi/knyazz/110819/tayna_krivih_zerkal/,"['На небе уныло застыла луна', 'Тревожат кривые меня зеркала', 'Как будто смеются они надо мной', 'Дневных развлечений я сторож ночной', 'Видать на уродство повысился спрос', 'А я бы пустил балаган под откос!', 'Мне нету покоя, держу я пари', 'Там нечто живое таится внутри', 'Толпы бездельников прут каждый день', 'Под разноцветный покров,', 'Пестрый шатер завлекает людей', 'Зрелищем для дураков', 'На тех, кому все это понраву', 'Гляжу я с тоской,', 'Здесь лишь глупец находит забаву', 'Смеясь над собой', 'Не в пору решили на нервах играть', 'Быть может слегка их ружьем по пугать?', 'Подброшу монету, коль будет орел', 'Нарушу запреты, проверю шатер', 'Жуткое зрелище тут же в потьмах', 'Луч фонаря мне открыл -', 'Злые гримассы в кривых зеркалах', 'Тех, кто сюда заходил!', 'На тех, кому все это понраву', 'Гляжу я с тоской,', 'Здесь лишь глупец находит забаву', 'Смеясь над собой', 'Проклятые фрики хватают меня', 'Чувствую - плохи дела,', 'Гадко смеясь и ужасно галдя,', 'Тянут в свои зеркала', 'На тех, кому все это понраву', 'Гляжу я с тоской,', 'Здесь лишь глупец находит забаву', 'Смеясь над собой', 'Смеясь над собой', 'Смеясь над собой']"
"Таких, как ты, мир наш не знал","['Bm', 'Em', 'F#', 'G', 'C#m', 'D', 'F#m', 'G#', 'A', 'D#m', 'E']",9676,6,11.11.2015,https://amdm.ru/akkordi/knyazz/127599/takih_kak_ti_mir_nash_ne_znal/,"['Intro:', 'Бездонной чаше всех твоих желаний', 'Благоволила глупая судьба.', 'Лишь только боль, лишь эликсир страданий', 'Ты подарить могла.', 'Тебе я дал бессмертие и силу,', 'Но в благодарность - ты вонзила мне', 'Свой ядовитый, острый коготь в спину,', 'И сгинула во мгле.', 'Припев:', 'Таких, как ты, мир наш не знал.', 'Я все отдал, чтобы вернуть', 'Тот день, когда тебя повстречал,', 'Чтоб прочь убежать, судьбу обмануть.', '}x3', 'Рассудком злость и жажда управляют.', 'Порвала с прошлым, все мосты сожгла.', 'И реки крови с губ твоих стекают,', 'Когда приходит мгла.', 'Припев:', 'Таких, как ты, мир наш не знал.', 'Я все отдал, чтобы вернуть', 'Тот день, когда тебя повстречал,', 'Чтоб прочь убежать, судьбу обмануть.', '}x3', '|', 'Повержен я, но близок час расплаты.', 'Из преисподней вырвусь, всё круша.', 'И я верну тебе твой яд проклятый,', 'Свой правый суд верша!', 'Припев:', 'Смертельный яд - вот, что таят', 'Дебри коварной той души.', 'Что сквозь пленяющий разум взгляд', 'Власть ищет в мире, ценою лжи..', 'Судьбу обмануть.', 'Судьбу обмануть.', 'Outro:']"
Тараканы,"['Em', 'G', 'C5', 'D5', 'Am', 'Hm']",2033,1,04.11.2021,https://amdm.ru/akkordi/knyazz/186951/tarakani/,"['x2', 'У меня хороший дом', 'Все, что нужно мне, есть в нем,', 'Но совсем не счастлив я', 'Ох замучали меня...', 'Тараканы! Твердить готов я каждый раз,', 'Каждый раз!', 'Вы поганы! О как я ненавижу вас!', 'Вижу вас!', 'x3', 'Люди ходят по бульварам', 'Смеются и поют!', 'Я тоже так хочу,', 'Но мне покоя тараканы не дают!', 'Сажусь за стол покушать', 'И они здесь тут как тут,', 'Везде, где только можно', 'Эти мерзкие создания живут!', 'Я воюю десять лет', 'Но на них управы нет!', 'Сколько пробовал всего,', 'Но ничто не помогло!', 'Тараканы! Твердить готов я каждый раз,', 'Каждый раз!', 'Вы поганы! О как я ненавижу вас!', 'Вижу вас!', 'x3', 'Ко мне не ходят гости', 'Не залезет даже вор!', 'Как в джунглях законом в моем доме', 'Стал естественный отбор!', 'Сильнейший выживает', 'Жуткий принцип - кто кого!', 'Но как несправедлива жизнь бывает,', 'Когда все на одного!', 'Тараканы!', 'Тараканы! Тараканы! Тараканы!     х2', 'Я взад вперёд по комнате,', 'Как проклятый, хожу,', 'Забыв про все на свете,', 'Я за гадкими букашками слежу!', 'В лохматое животное', 'Я превратился сам,', 'И люди говорят мне, что я страшный', 'И ужасный таракан! И ужасный таракан!']"
Тёмные,"['Em', 'C', 'Am', 'B7']",4267,6,22.08.2015,https://amdm.ru/akkordi/knyazz/121520/tyomnie/,"['Вступление:', 'Куплет 1:', 'Не спас людей святой крест. Дыхание чумы', 'Забрало жизнь из этих мест,', 'Остались только мы.', 'Остались явно не спроста, час истины настал.', 'Я понял, что она не та, кем я ее считал.', 'Припев:', 'Что я не знаю, скажи, о тебе,', 'Сказке конец в нашей странной судьбе.', 'Вижу по-новому сущность твою', 'Живы, но все же стоим на краю.', 'На крааааю.', 'Куплет 2:', 'Тринадцать лет я был так слеп,', 'Не распознал ее.', 'Хранил зловещей тайны склеп', 'Проклятие мое,', 'И безрассудством как чумой,', 'Мой разум заразил', 'Химера вырвалась из той,', 'Которую любил.', 'Припев.', 'Зачем все эти годы я старался быть другим?', 'Я смертных другом становясь, уподобляясь им,', 'Зачем я жертвовал собой, зачем? Я жажду знать!', 'К химере в облике людском любовь изображать.', 'Припев:', 'Сердце пробито осколками льда,', 'Ту, что любил, не вернуть никогда.', 'И над потоком смеются в гробу:', 'Вечный вам мир, проклиная судьбу.', 'Прочь уйду!']"
Триумф,"['F', 'Dm', 'B', 'Gm', 'Am', 'G', 'A', 'Asus4', 'C']",2732,2,01.02.2015,https://amdm.ru/akkordi/knyazz/105933/triumf/,"['Проигрыш:', '|', '2p', '|', '|', '|', '|', '|', '|', 'Победителей не судят, но', 'Он познал триумф и пал на дно.', 'На своей судьбе поставил крест,', 'Оббивал пороги злачных мест.', 'Потерян был покой,', 'Жизнь летела под откос.', 'Кто я для вас такой? –', 'Задавал он всем вопрос.', 'Проигрыш:', '|', '|', '|', '|', '|', '|', 'Затерялся комик-лицедей', 'Среди им придуманных ролей.', 'Ночью в баре крепкий ром всё убывает,', 'А актёр уверен в том, что он играет.', 'Потерян был покой,', 'Жизнь летела под откос.', 'Кто я для вас такой? –', 'Задавал он всем вопрос.', 'Не всякий юмор в этом баре поймут,', 'Но славу ищет тут', 'Вчерашний комик, ныне злобный шут.', 'Проигрыш:', '|', '|', '|', '|', '|', '|', '|', '|', '|', '|', '|', '|', 'Потерян был покой,', 'Жизнь летела под откос.', 'Кто я для вас такой? –', 'Задавал он всем вопрос.', 'Проигрыш:', '|', '|', '|', '|', '|', '|', '|', '|']"
У пасти черных улиц,"['Cm', 'Gm', 'Fm', 'G', 'G#', 'Bm', 'F', 'B']",9188,15,10.04.2015,https://amdm.ru/akkordi/knyazz/111513/u_pasti_chernih_ulic/,"['Как юнец', 'Сто ночей', 'Шел за ней, я шел за ней.', 'Мне не шла эта роль, -', 'Только боль, только боль.', 'Нутро мое шептало -', 'Тут дело нечисто,', 'Остваь ее,', 'Твоя любовь - самоубийство', 'Свет - тень; Ночь - день', 'Хей-хей!', 'Припев:', 'Во мрак дома людские окунулись,', 'Шумят потоки ледяных дождей.', 'Блуждаю молча в пасти темных улиц,', 'Страдая от слепой любви своей.', 'Способность очаровывать вампиров не юна,', 'Опустошать их как бокалы терпкого вина', 'Лишаясь сил, в ночи упорно следуют за ней', 'И гибнут, так и не достигнув цели', 'Призрачной своей', 'Цель была близка,', 'Сгинула тоска,', 'И, лишаясь сил,', 'Я глаза закрыл']"
Убежище,"['Bm', 'Em', 'F#m', 'F#7', 'A', 'G+7', 'F#m7', 'G', 'C#m', 'G#', 'G#7', 'B', 'Am7', 'G#m7', 'G#m', 'E']",4138,6,22.03.2015,https://amdm.ru/akkordi/knyazz/110077/ubezhische/,"['Твоя квартира стала теперь', 'Убежищем от тех,', 'Кому от нас с тобой чего-то надо.', 'На все замки закрыта дверь', 'И временный успех -', 'Всего лишь за безумие награда', 'Отныне мир враждебен к нам,', 'Что точно не к добру', 'Пробитый пулей портсигар -', 'Свидетельство тому', 'О чем там пишут про нас газеты,', 'Узнать большого желанья нет.', 'С тобой нарушим мы все запреты,', 'Даст Бог, судьба убережёт от бед...', 'x2', 'С тобой во времени я застрял,', 'Искал спасения.', 'Об пол моя разбита Motorola.', 'Я телевизор не выключал', 'Почти четыре дня:', 'Там на экране звёзды Рок-н-ролла...', 'Наверно, демон нас вовлёк', 'В опасную игру.', 'Нависший над судьбой злой рок -', 'Свидетельство тому...', 'О чем там пишут про нас газеты,', 'Узнать большого желанья нет.', 'С тобой нарушим мы все запреты,', 'Даст Бог, судьба убережёт от бед...', 'А по району копы снуют,', 'Они и там и тут.', 'Им нервы потрепали мы изрядно!', 'Куда, на Север или на Юг,', 'Продолжим свой маршрут', 'Пока и самому мне не понятно...', 'Не удалось наш дерзкий план', 'Разрушить никому.', 'И полный денег чемодан -', 'Свидетельство тому!', 'О чем там пишут про нас газеты,', 'Узнать большого желанья нет.', 'С тобой нарушили мы все запреты,', 'Увидим ли мы следующий рассвет?', 'Outro:', 'x2']"
